
gitv,#genre#
CCTV5,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/
CCTV5+,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV6,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/
CCTV7,http://223.110.241.139:6610/gitv/live1/G_CCTV-7-CQ/G_CCTV-7-CQ/
CCTV8,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV9,http://223.110.241.139:6610/gitv/live1/G_CCTV-9-CQ/G_CCTV-9-CQ/
CCTV10,http://223.110.241.139:6610/gitv/live1/G_CCTV-10-CQ/G_CCTV-10-CQ/
CCTV12,http://223.110.241.139:6610/gitv/live1/G_CCTV-12-CQ/G_CCTV-12-CQ/
CCTV13,http://223.110.241.139:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ/
CCTV14,http://223.110.241.139:6610/gitv/live1/G_CCTV-14-CQ/G_CCTV-14-CQ/
CCTV15,http://223.110.241.139:6610/gitv/live1/G_CCTV-15-CQ/G_CCTV-15-CQ/
CCTV16,http://223.110.241.139:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ/
CCTV17,http://223.110.241.139:6610/gitv/live1/G_CCTV-17-CQ/G_CCTV-17-CQ/
CCTV兵器科技,http://223.110.241.139:6610/gitv/live1/G_BINGQIKJ-CQ/G_BINGQIKJ-CQ/
CCTV高尔夫网球,http://223.110.241.139:6610/gitv/live1/G_CCTV-GOLF-CQ/G_CCTV-GOLF-CQ/
江苏卫视,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
广东卫视,http://223.110.241.139:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/
天津卫视,http://223.110.241.139:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/
深圳卫视,http://223.110.241.139:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CQ/
山东卫视,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
河南卫视,http://223.110.241.139:6610/gitv/live1/G_HENAN-CQ/G_HENAN-CQ/
安徽卫视,http://223.110.241.139:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/
辽宁卫视,http://223.110.241.139:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/
吉林卫视,http://223.110.241.139:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/
江西卫视,http://223.110.241.139:6610/gitv/live1/G_JIANGXI-CQ/G_JIANGXI-CQ/
黑龙江卫视,http://223.110.241.139:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/
重庆卫视,http://223.110.241.139:6610/gitv/live1/G_CHONGQING-CQ/G_CHONGQING-CQ/
四川卫视,http://223.110.241.139:6610/gitv/live1/G_SICHUAN-CQ/G_SICHUAN-CQ/
贵州卫视,http://223.110.241.139:6610/gitv/live1/G_GUIZHOU-CQ/G_GUIZHOU-CQ/
河北卫视,http://223.110.241.139:6610/gitv/live1/G_HEBEI-CQ/G_HEBEI-CQ/
三沙卫视,http://223.110.241.139:6610/gitv/live1/G_SANSHA-HQ/G_SANSHA-CQ/
青海卫视,http://223.110.241.139:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
甘肃卫视,http://223.110.241.139:6610/gitv/live1/G_GANSU/G_GANSU/
宁夏卫视,http://223.110.241.139:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
山西卫视,http://223.110.241.139:6610/gitv/live1/SXWS/SXWS/
陕西卫视,http://223.110.241.139:6610/gitv/live1/G_SHANXI/G_SHANXI/
西藏卫视,http://223.110.241.139:6610/gitv/live1/G_XIZANG/G_XIZANG/
新疆卫视,http://223.110.241.139:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
兵团卫视,http://223.110.241.139:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
内蒙古卫视,http://223.110.241.139:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
厦门卫视,http://223.110.241.139:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
农林卫视,http://223.110.241.139:6610/gitv/live1/G_NONGLIN/G_NONGLIN/
安多卫视,http://223.110.241.139:6610/gitv/live1/G_ANDUO/G_ANDUO/
康巴卫视,http://223.110.241.139:6610/gitv/live1/G_KANGBA/G_KANGBA/
延边卫视,http://223.110.241.139:6610/gitv/live1/G_YANBIAN/G_YANBIAN/
纪实科教,http://223.110.241.139:6610/gitv/live1/G_BEIJINGJS-CQ/G_BEIJINGJS-CQ/
卡酷少儿,http://223.110.241.139:6610/gitv/live1/G_KAKU/G_KAKU/
金鹰卡通,http://223.110.241.139:6610/gitv/live1/G_JINYING/G_JINYING/
优漫卡通,http://223.110.241.139:6610/gitv/live1/G_YOUMAN/G_YOUMAN/
嘉佳卡通,http://223.110.241.139:6610/gitv/live1/G_JIAJIA/G_JIAJIA/
广西卫视,http://223.110.241.139:6610/gitv/live1/GXWS/GXWS/

CCTV1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-MD/G_CCTV-1-MD/
CCTV2,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-MD/G_CCTV-2-MD/
CCTV3,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-MD/G_CCTV-3-MD/
CCTV4,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-MD/G_CCTV-4-MD/
CCTV5,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-MD/G_CCTV-5-MD/
CCTV5+,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-MD/G_CCTV-5PLUS-MD/
CCTV6,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-MD/G_CCTV-6-MD/
CCTV8,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-MD/G_CCTV-8-MD/
CCTV高尔夫网球,http://223.110.241.139:6610/gitv/live1/G_CCTV-GOLF-CQ/G_CCTV-GOLF-MD/
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING-MD/G_BEIJING-MD/
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN-MD/G_HUNAN-MD/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-MD/G_DONGFANG-MD/
广东卫视,http://223.110.241.139:6610/gitv/live1/G_GUANGDONG-MD/G_GUANGDONG-MD/
天津卫视,http://223.110.241.139:6610/gitv/live1/G_TIANJIN-MD/G_TIANJIN-MD/
山东卫视,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-MD/G_SHANDONG-MD/
辽宁卫视,http://223.110.241.139:6610/gitv/live1/G_LIAONING-MD/G_LIAONING-MD/
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI-MD/G_HUBEI-MD/
黑龙江卫视,http://223.110.241.139:6610/gitv/live1/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD/
CETV1,http://223.110.241.139:6610/gitv/live1/G_CETV-1/G_CETV-1/

江苏城市,http://223.110.241.139:6610/gitv/live1/G_JSCS/G_JSCS/
江苏公共,http://223.110.241.139:6610/gitv/live1/G_JSGG/G_JSGG/
江苏休闲体育,http://223.110.241.139:6610/gitv/live1/G_JSTY/G_JSTY/
江苏综艺,http://223.110.241.139:6610/gitv/live1/G_JSZY/G_JSZY/
南京新闻综合,http://223.110.241.139:6610/gitv/live1/G_NJXW/G_NJXW/
南京科教,http://223.110.241.139:6610/gitv/live1/G_NJJK/G_NJJK/
南京十八,http://223.110.241.139:6610/gitv/live1/G_NJSB/G_NJSB/

CCTV1,http://223.110.241.204:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/
CCTV1,http://223.110.241.204:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/
CCTV2,http://223.110.241.204:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV3,http://223.110.241.204:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/
CCTV3,http://223.110.241.204:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/
CCTV4,http://223.110.241.204:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/
CCTV4,http://223.110.241.204:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/
CCTV5,http://223.110.241.204:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV5,http://223.110.241.204:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/
CCTV5,http://223.110.241.204:6610/gitv/live1/CCTV-5/CCTV-5/
CCTV5+,http://223.110.241.204:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ/
CCTV5+,http://223.110.241.204:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV6,http://223.110.241.204:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/
CCTV8,http://223.110.241.204:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/
CCTV8,http://223.110.241.204:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV10,http://223.110.241.204:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/
CCTV11,http://223.110.241.204:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/
CCTV13,http://223.110.241.204:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/

江苏卫视,http://223.110.241.204:6610/gitv/live1/G_JIANGSU-HQ/G_JIANGSU-HQ/
江苏卫视,http://223.110.241.204:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
湖南卫视,http://223.110.241.204:6610/gitv/live1/G_HUNAN-HQ/G_HUNAN-HQ/
湖南卫视,http://223.110.241.204:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
浙江卫视,http://223.110.241.204:6610/gitv/live1/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ/
浙江卫视,http://223.110.241.204:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
安徽卫视,http://223.110.241.204:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/
北京卫视,http://223.110.241.204:6610/gitv/live1/G_BEIJING-HQ/G_BEIJING-HQ/
北京卫视,http://223.110.241.204:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
东方卫视,http://223.110.241.204:6610/gitv/live1/G_DONGFANG-HQ/G_DONGFANG-HQ/
东方卫视,http://223.110.241.204:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
广东卫视,http://223.110.241.204:6610/gitv/live1/G_GUANGDONG-HQ/G_GUANGDONG-HQ/
广东卫视,http://223.110.241.204:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/
广西卫视,http://223.110.241.204:6610/gitv/live1/GXWS/GXWS/
黑龙江卫视,http://223.110.241.204:6610/gitv/live1/G_HEILONGJIANG-HQ/G_HEILONGJIANG-HQ/
黑龙江卫视,http://223.110.241.204:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/
湖北卫视,http://223.110.241.204:6610/gitv/live1/G_HUBEI-HQ/G_HUBEI-HQ/
湖北卫视,http://223.110.241.204:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/
辽宁卫视,http://223.110.241.204:6610/gitv/live1/G_LIAONING-HQ/G_LIAONING-HQ/
辽宁卫视,http://223.110.241.204:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/
内蒙古卫视,http://223.110.241.204:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
宁夏卫视,http://223.110.241.204:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
青海卫视,http://223.110.241.204:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
厦门卫视,http://223.110.241.204:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
山东卫视,http://223.110.241.204:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/
山东卫视,http://223.110.241.204:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
山西卫视,http://223.110.241.204:6610/gitv/live1/SXWS/SXWS/
陕西卫视,http://223.110.241.204:6610/gitv/live1/G_SHANXI/G_SHANXI/
深圳卫视,http://223.110.241.204:6610/gitv/live1/G_SHENZHEN-HQ/G_SHENZHEN-HQ/
深圳卫视,http://223.110.241.204:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CQ/
天津卫视,http://223.110.241.204:6610/gitv/live1/G_TIANJIN-HQ/G_TIANJIN-HQ/
天津卫视,http://223.110.241.204:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/
新疆卫视,http://223.110.241.204:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
CETV1,http://223.110.241.204:6610/gitv/live1/G_CETV-1/G_CETV-1/

CCTV13,http://223.110.255.142:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/1.m3u8

CCTV9,http://223.110.255.155:6610/gitv/live1/G_CCTV-9-HD-265-5M/G_CCTV-9-HD-265-5M/1.m3u8

河北卫视,http://223.110.255.194:6610/gitv/live1/G_HEBEI-CQ/G_HEBEI-CQ/1.m3u8

吉林卫视,http://223.110.255.202:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/1.m3u8

河南卫视,http://223.110.255.204:6610/gitv/live1/G_HENAN-CQ/G_HENAN-CQ/1.m3u8

CCTV8,http://223.110.255.207:6610/gitv/live1/G_CCTV-8-AVS-4K264/G_CCTV-8-AVS-4K264/1.m3u8
贵州卫视,http://223.110.255.207:6610/gitv/live1/G_GUIZHOU-CQ/G_GUIZHOU-CQ/1.m3u8

四川卫视,http://223.110.255.208:6610/gitv/live1/G_SICHUAN-CQ/G_SICHUAN-CQ/1.m3u8
